Year,Country_Vehicle,value
1996,FR_TRN,8.0
1996,HU_BUS,25.0
1996,HU_CAR,63.2
1996,HU_TRN,11.8
1996,IE_BUS,13.5
1996,IE_CAR,83.3
1996,IE_TRN,3.3
1996,IT_BUS,11.7
1996,IT_CAR,82.5
1996,IT_TRN,5.9
1996,LU_BUS,9.8
1996,LU_CAR,85.2
1996,LU_TRN,5.0
1996,NL_BUS,6.9
1996,NL_CAR,85.4
1996,NL_TRN,7.7
1996,PL_BUS,19.4
1996,PL_CAR,69.3
1996,PL_TRN,11.3
1996,PT_BUS,15.6
1996,PT_CAR,78.1
1996,PT_TRN,6.3
1996,SE_BUS,9.4
1996,SE_CAR,84.0
1996,SE_TRN,6.7
1996,SI_BUS,18.9
1996,SI_CAR,78.4
1996,SI_TRN,2.7
1997,AT_BUS,10.9
1997,AT_CAR,79.0
1997,AT_TRN,10.1
1997,BE_BUS,11.1
1997,BE_CAR,83.0
1997,BE_TRN,5.9
1997,CH_BUS,3.6
1997,CH_CAR,82.5
1997,CH_TRN,13.9
1997,DE_BUS,7.1
1997,DE_CAR,85.3
1997,DE_TRN,7.6
1997,DK_BUS,16.9
1997,DK_CAR,75.3
1997,DK_TRN,7.8
1997,EL_BUS,28.5
1997,EL_CAR,68.9
1997,EL_TRN,2.6
1997,ES_BUS,22.5
1997,ES_CAR,69.0
1997,ES_TRN,8.5
1997,FI_BUS,12.6
1997,FI_CAR,82.0
1997,FI_TRN,5.3
1997,FR_BUS,5.5
1997,FR_CAR,86.4
1997,FR_TRN,8.1
1997,HU_BUS,24.0
1997,HU_CAR,64.1
1997,HU_TRN,11.9
1997,IE_BUS,13.3
1997,IE_CAR,83.3
1997,IE_TRN,3.4
1997,IT_BUS,11.7
1997,IT_CAR,82.7
1997,IT_TRN,5.6
1997,LU_BUS,9.7
1997,LU_CAR,85.1
1997,LU_TRN,5.1
1997,NL_BUS,6.8
1997,NL_CAR,85.2
1997,NL_TRN,8.0
1997,PL_BUS,17.9
1997,PL_CAR,71.3
1997,PL_TRN,10.8
1997,PT_BUS,13.9
1997,PT_CAR,80.0
1997,PT_TRN,6.1
1997,SE_BUS,9.4
1997,SE_CAR,83.9
1997,SE_TRN,6.7
1997,SI_BUS,18.2
1997,SI_CAR,79.2
1997,SI_TRN,2.6
1998,AT_BUS,10.9
1998,AT_CAR,79.4
1998,AT_TRN,9.8
1998,BE_BUS,11.0
1998,BE_CAR,83.1
1998,BE_TRN,5.9
1998,CH_BUS,5.3
1998,CH_CAR,81.1
1998,CH_TRN,13.6
1998,DE_BUS,7.0
1998,DE_CAR,85.5
1998,DE_TRN,7.5
1998,DK_BUS,14.1
1998,DK_CAR,77.7
1998,DK_TRN,8.3
1998,EL_BUS,28.0
1998,EL_CAR,70.0
1998,EL_TRN,2.0
1998,ES_BUS,12.8
1998,ES_CAR,82.0
1998,ES_TRN,5.2
1998,FI_BUS,12.1
1998,FI_CAR,82.7
1998,FI_TRN,5.2
1998,FR_BUS,5.4
1998,FR_CAR,86.4
1998,FR_TRN,8.2
1998,HU_BUS,23.7
1998,HU_CAR,64.1
1998,HU_TRN,12.2
1998,IE_BUS,13.3
1998,IE_CAR,83.4
1998,IE_TRN,3.3
1998,IT_BUS,11.4
1998,IT_CAR,83.4
1998,IT_TRN,5.2
1998,LU_BUS,9.7
1998,LU_CAR,85.2
1998,LU_TRN,5.1
1998,NL_BUS,7.1
1998,NL_CAR,83.8
1998,NL_TRN,9.1
1998,PL_BUS,17.4
1998,PL_CAR,72.1
1998,PL_TRN,10.5
1998,PT_BUS,14.3
1998,PT_CAR,80.0
1998,PT_TRN,5.8
1998,SE_BUS,9.2
1998,SE_CAR,83.9
1998,SE_TRN,6.8
1998,SI_BUS,16.5
1998,SI_CAR,80.8
1998,SI_TRN,2.7
1999,AT_BUS,10.7
1999,AT_CAR,79.6
1999,AT_TRN,9.6
1999,BE_BUS,10.9
1999,BE_CAR,83.1
1999,BE_TRN,6.0
1999,CH_BUS,5.2
1999,CH_CAR,81.0
1999,CH_TRN,13.8
1999,DE_BUS,6.9
1999,DE_CAR,85.7
1999,DE_TRN,7.5
1999,DK_BUS,13.9
1999,DK_CAR,78.0
1999,DK_TRN,8.1
1999,EL_BUS,26.5
1999,EL_CAR,71.5
1999,EL_TRN,2.0
1999,ES_BUS,12.9
1999,ES_CAR,82.0
1999,ES_TRN,5.1
1999,FI_BUS,11.5
1999,FI_CAR,83.3
1999,FI_TRN,5.2
1999,FR_BUS,5.2
1999,FR_CAR,86.6
1999,FR_TRN,8.2
1999,HU_BUS,24.1
1999,HU_CAR,63.0
1999,HU_TRN,12.9
1999,IE_BUS,13.3
1999,IE_CAR,83.4
1999,IE_TRN,3.3
1999,IT_BUS,11.5
1999,IT_CAR,83.0
1999,IT_TRN,5.4
1999,LU_BUS,9.8
1999,LU_CAR,84.9
1999,LU_TRN,5.3
1999,NL_BUS,6.7
1999,NL_CAR,84.3
1999,NL_TRN,9.0
1999,PL_BUS,16.8
1999,PL_CAR,72.3
1999,PL_TRN,10.9
1999,PT_BUS,13.7
1999,PT_CAR,81.1
1999,PT_TRN,5.2
1999,SE_BUS,9.0
1999,SE_CAR,83.9
