,STATISTIC,Statistic Label,TLIST(W1),Week,C03132V03784,Luas Line,UNIT,VALUE
184,TII03C01,Passenger Journeys,2020W09,2020 Week 09,1,Red line,Number,437082.0
185,TII03C01,Passenger Journeys,2020W09,2020 Week 09,2,Green line,Number,461774.0
186,TII03C01,Passenger Journeys,2020W10,2020 Week 10,-,All Luas lines,Number,914613.0
187,TII03C01,Passenger Journeys,2020W10,2020 Week 10,1,Red line,Number,472655.0
188,TII03C01,Passenger Journeys,2020W10,2020 Week 10,2,Green line,Number,441958.0
189,TII03C01,Passenger Journeys,2020W11,2020 Week 11,-,All Luas lines,Number,684508.0
190,TII03C01,Passenger Journeys,2020W11,2020 Week 11,1,Red line,Number,347419.0
191,TII03C01,Passenger Journeys,2020W11,2020 Week 11,2,Green line,Number,337090.0
192,TII03C01,Passenger Journeys,2020W12,2020 Week 12,-,All Luas lines,Number,172062.0
193,TII03C01,Passenger Journeys,2020W12,2020 Week 12,1,Red line,Number,94591.0
194,TII03C01,Passenger Journeys,2020W12,2020 Week 12,2,Green line,Number,77471.0
195,TII03C01,Passenger Journeys,2020W13,2020 Week 13,-,All Luas lines,Number,109378.0
196,TII03C01,Passenger Journeys,2020W13,2020 Week 13,1,Red line,Number,64188.0
197,TII03C01,Passenger Journeys,2020W13,2020 Week 13,2,Green line,Number,45190.0
198,TII03C01,Passenger Journeys,2020W14,2020 Week 14,-,All Luas lines,Number,51655.0
199,TII03C01,Passenger Journeys,2020W14,2020 Week 14,1,Red line,Number,30357.0
200,TII03C01,Passenger Journeys,2020W14,2020 Week 14,2,Green line,Number,21298.0
201,TII03C01,Passenger Journeys,2020W15,2020 Week 15,-,All Luas lines,Number,51695.0
202,TII03C01,Passenger Journeys,2020W15,2020 Week 15,1,Red line,Number,31902.0
203,TII03C01,Passenger Journeys,2020W15,2020 Week 15,2,Green line,Number,19793.0
204,TII03C01,Passenger Journeys,2020W16,2020 Week 16,-,All Luas lines,Number,49393.0
205,TII03C01,Passenger Journeys,2020W16,2020 Week 16,1,Red line,Number,29666.0
206,TII03C01,Passenger Journeys,2020W16,2020 Week 16,2,Green line,Number,19727.0
207,TII03C01,Passenger Journeys,2020W17,2020 Week 17,-,All Luas lines,Number,55246.0
208,TII03C01,Passenger Journeys,2020W17,2020 Week 17,1,Red line,Number,33589.0
209,TII03C01,Passenger Journeys,2020W17,2020 Week 17,2,Green line,Number,21657.0
210,TII03C01,Passenger Journeys,2020W18,2020 Week 18,-,All Luas lines,Number,53321.0
211,TII03C01,Passenger Journeys,2020W18,2020 Week 18,1,Red line,Number,30363.0
212,TII03C01,Passenger Journeys,2020W18,2020 Week 18,2,Green line,Number,22958.0
213,TII03C01,Passenger Journeys,2020W19,2020 Week 19,-,All Luas lines,Number,62327.0
214,TII03C01,Passenger Journeys,2020W19,2020 Week 19,1,Red line,Number,37373.0
215,TII03C01,Passenger Journeys,2020W19,2020 Week 19,2,Green line,Number,24953.0
216,TII03C01,Passenger Journeys,2020W20,2020 Week 20,-,All Luas lines,Number,70288.0
217,TII03C01,Passenger Journeys,2020W20,2020 Week 20,1,Red line,Number,42233.0
218,TII03C01,Passenger Journeys,2020W20,2020 Week 20,2,Green line,Number,28056.0
219,TII03C01,Passenger Journeys,2020W21,2020 Week 21,-,All Luas lines,Number,97318.0
220,TII03C01,Passenger Journeys,2020W21,2020 Week 21,1,Red line,Number,57828.0
221,TII03C01,Passenger Journeys,2020W21,2020 Week 21,2,Green line,Number,39490.0
222,TII03C01,Passenger Journeys,2020W22,2020 Week 22,-,All Luas lines,Number,121645.0
223,TII03C01,Passenger Journeys,2020W22,2020 Week 22,1,Red line,Number,70711.0
224,TII03C01,Passenger Journeys,2020W22,2020 Week 22,2,Green line,Number,50934.0
225,TII03C01,Passenger Journeys,2020W23,2020 Week 23,-,All Luas lines,Number,116454.0
226,TII03C01,Passenger Journeys,2020W23,2020 Week 23,1,Red line,Number,66098.0
227,TII03C01,Passenger Journeys,2020W23,2020 Week 23,2,Green line,Number,50356.0
228,TII03C01,Passenger Journeys,2020W24,2020 Week 24,-,All Luas lines,Number,162187.0
229,TII03C01,Passenger Journeys,2020W24,2020 Week 24,1,Red line,Number,91498.0
230,TII03C01,Passenger Journeys,2020W24,2020 Week 24,2,Green line,Number,70689.0
231,TII03C01,Passenger Journeys,2020W25,2020 Week 25,-,All Luas lines,Number,198036.0
232,TII03C01,Passenger Journeys,2020W25,2020 Week 25,1,Red line,Number,104738.0
233,TII03C01,Passenger Journeys,2020W25,2020 Week 25,2,Green line,Number,93298.0
234,TII03C01,Passenger Journeys,2020W26,2020 Week 26,-,All Luas lines,Number,212109.0
235,TII03C01,Passenger Journeys,2020W26,2020 Week 26,1,Red line,Number,111503.0
236,TII03C01,Passenger Journeys,2020W26,2020 Week 26,2,Green line,Number,100606.0
237,TII03C01,Passenger Journeys,2020W27,2020 Week 27,-,All Luas lines,Number,260302.0
238,TII03C01,Passenger Journeys,2020W27,2020 Week 27,1,Red line,Number,132545.0
239,TII03C01,Passenger Journeys,2020W27,2020 Week 27,2,Green line,Number,127756.0
240,TII03C01,Passenger Journeys,2020W28,2020 Week 28,-,All Luas lines,Number,272181.0
241,TII03C01,Passenger Journeys,2020W28,2020 Week 28,1,Red line,Number,144676.0
242,TII03C01,Passenger Journeys,2020W28,2020 Week 28,2,Green line,Number,127505.0
243,TII03C01,Passenger Journeys,2020W29,2020 Week 29,-,All Luas lines,Number,281255.0
244,TII03C01,Passenger Journeys,2020W29,2020 Week 29,1,Red line,Number,147109.0
245,TII03C01,Passenger Journeys,2020W29,2020 Week 29,2,Green line,Number,134146.0
246,TII03C01,Passenger Journeys,2020W30,2020 Week 30,-,All Luas lines,Number,299837.0
247,TII03C01,Passenger Journeys,2020W30,2020 Week 30,1,Red line,Number,153043.0
248,TII03C01,Passenger Journeys,2020W30,2020 Week 30,2,Green line,Number,146794.0
249,TII03C01,Passenger Journeys,2020W31,2020 Week 31,-,All Luas lines,Number,329979.0
250,TII03C01,Passenger Journeys,2020W31,2020 Week 31,1,Red line,Number,175329.0
251,TII03C01,Passenger Journeys,2020W31,2020 Week 31,2,Green line,Number,154650.0
252,TII03C01,Passenger Journeys,2020W32,2020 Week 32,-,All Luas lines,Number,324687.0
253,TII03C01,Passenger Journeys,2020W32,2020 Week 32,1,Red line,Number,173546.0
254,TII03C01,Passenger Journeys,2020W32,2020 Week 32,2,Green line,Number,151141.0
255,TII03C01,Passenger Journeys,2020W33,2020 Week 33,-,All Luas lines,Number,327981.0
256,TII03C01,Passenger Journeys,2020W33,2020 Week 33,1,Red line,Number,166560.0
257,TII03C01,Passenger Journeys,2020W33,2020 Week 33,2,Green line,Number,161421.0
258,TII03C01,Passenger Journeys,2020W34,2020 Week 34,-,All Luas lines,Number,332762.0
259,TII03C01,Passenger Journeys,2020W34,2020 Week 34,1,Red line,Number,176256.0
260,TII03C01,Passenger Journeys,2020W34,2020 Week 34,2,Green line,Number,156507.0
261,TII03C01,Passenger Journeys,2020W35,2020 Week 35,-,All Luas lines,Number,352046.0
262,TII03C01,Passenger Journeys,2020W35,2020 Week 35,1,Red line,Number,183972.0
263,TII03C01,Passenger Journeys,2020W35,2020 Week 35,2,Green line,Number,168074.0
264,TII03C01,Passenger Journeys,2020W36,2020 Week 36,-,All Luas lines,Number,364177.0
265,TII03C01,Passenger Journeys,2020W36,2020 Week 36,1,Red line,Number,181996.0
266,TII03C01,Passenger Journeys,2020W36,2020 Week 36,2,Green line,Number,182181.0
267,TII03C01,Passenger Journeys,2020W37,2020 Week 37,-,All Luas lines,Number,385884.0
268,TII03C01,Passenger Journeys,2020W37,2020 Week 37,1,Red line,Number,196461.0
269,TII03C01,Passenger Journeys,2020W37,2020 Week 37,2,Green line,Number,189424.0
270,TII03C01,Passenger Journeys,2020W38,2020 Week 38,-,All Luas lines,Number,359756.0
271,TII03C01,Passenger Journeys,2020W38,2020 Week 38,1,Red line,Number,183897.0
272,TII03C01,Passenger Journeys,2020W38,2020 Week 38,2,Green line,Number,175859.0
273,TII03C01,Passenger Journeys,2020W39,2020 Week 39,-,All Luas lines,Number,322384.0
274,TII03C01,Passenger Journeys,2020W39,2020 Week 39,1,Red line,Number,158777.0
275,TII03C01,Passenger Journeys,2020W39,2020 Week 39,2,Green line,Number,163607.0
276,TII03C01,Passenger Journeys,2020W40,2020 Week 40,-,All Luas lines,Number,334649.0
277,TII03C01,Passenger Journeys,2020W40,2020 Week 40,1,Red line,Number,167616.0
