Year,Country_Code,value
2017,BA,472000.0
2017,BG,21195000.0
2017,CH,607941000.0
2017,CZ,182724000.0
2017,DE,2831443000.0
2017,DK,206566000.0
2017,EE,7433000.0
2017,EL,15359000.0
2017,ES,600296000.0
2017,FI,85703000.0
2017,FR,1277193000.0
2017,HR,19803000.0
2017,IE,45505000.0
2017,IT,864570000.0
2017,LI,855000.0
2017,LT,4176000.0
2017,LU,22930000.0
2017,LV,17494000.0
2017,ME,927000.0
2017,MK,500000.0
2017,NO,73561000.0
2017,PL,295394000.0
2017,PT,142127000.0
2017,RO,69056000.0
2017,SE,229817000.0
2017,SI,13002000.0
2017,SK,74916000.0
2017,TR,85338000.0
2017,UK,1757359000.0
2018,AT,307647000.0
2018,BA,549000.0
2018,BG,21329000.0
2018,CH,607567000.0
2018,CZ,189288000.0
2018,DE,2880558000.0
2018,DK,205307000.0
2018,EE,7759000.0
2018,EL,16795000.0
2018,ES,601912000.0
2018,FI,87502000.0
2018,FR,1246608000.0
2018,HR,20244000.0
2018,IE,47960000.0
2018,IT,882243000.0
2018,LI,940000.0
2018,LT,4665000.0
2018,LU,23331000.0
2018,LV,18242000.0
2018,ME,992000.0
2018,MK,540000.0
2018,NO,77740000.0
2018,PT,147581000.0
2018,RO,66500000.0
2018,SE,246490000.0
2018,SI,13105000.0
2018,SK,77265000.0
2018,TR,100568000.0
2018,UK,1783232000.0
2019,AT,314892000.0
2019,BA,657000.0
2019,BG,21329000.0
2019,CH,635595000.0
2019,CZ,193569000.0
2019,DE,2938023000.0
2019,DK,206601000.0
2019,EE,8373000.0
2019,EL,19599000.0
2019,ES,634954000.0
2019,FI,92801000.0
2019,FR,1265330000.0
2019,HR,19827000.0
2019,IE,50060000.0
2019,IT,898472000.0
2019,LI,1081000.0
2019,LT,4991000.0
2019,LU,25016000.0
2019,LV,18623000.0
2019,ME,986000.0
2019,MK,549000.0
2019,NO,80402000.0
2019,PT,175511000.0
2019,RO,69707000.0
2019,SE,264603000.0
2019,SI,13259000.0
2019,SK,80671000.0
2019,TR,164712000.0
2019,UK,1836886000.0
2020,AT,191272000.0
2020,BA,181000.0
2020,BG,16808000.0
2020,CH,402610000.0
2020,CZ,129308000.0
2020,DE,1752198000.0
2020,DK,133900000.0
2020,EE,5984000.0
2020,EL,10220000.0
2020,ES,333397000.0
2020,FI,59550000.0
2020,FR,723852000.0
2020,HR,13100000.0
2020,IE,17930000.0
2020,IT,389883000.0
2020,LI,479000.0
2020,LT,3238000.0
2020,LU,14527000.0
2020,LV,12862000.0
2020,ME,473000.0
2020,MK,253000.0
2020,NO,42599000.0
2020,PT,102247000.0
2020,RO,50559000.0
2020,SE,169163000.0
2020,SI,7924000.0
2020,SK,49421000.0
2020,TR,99470000.0
2021,AT,217501000.0
2021,BA,250000.0
2021,BG,17142000.0
2021,CH,420912000.0
2021,CZ,135083000.0
2021,DE,1761388000.0
2021,DK,134076000.0
2021,EE,6077000.0
2021,EL,10029000.0
2021,ES,418501000.0
2021,FI,55009000.0
2021,FR,894397000.0
2021,HR,13534000.0
2021,IE,17411000.0
2021,IT,491782000.0
2021,LI,710000.0
2021,LT,3948000.0
2021,LU,16595000.0
2021,LV,11194000.0
2021,MK,252000.0
2021,NO,41401000.0
2021,PT,120702000.0
2021,RO,54937000.0
2021,SE,164490000.0
2021,SI,11663000.0
2021,SK,45858000.0
2021,TR,136103000.0
2022,AT,292479000.0
2022,BA,442000.0
2022,BG,23065000.0
2022,CH,536207000.0
2022,CZ,174327000.0
2022,DE,2505856000.0
2022,DK,301567000.0
2022,EE,7129000.0
2022,EL,15421000.0
2022,ES,554154000.0
2022,FI,76089000.0
2022,FR,1142410000.0
2022,HR,18581000.0
2022,IE,35845000.0
2022,IT,693604000.0
2022,LI,1601000.0
2022,LT,4464000.0
2022,LU,22038000.0
2022,LV,15694000.0
2022,MK,406000.0
2022,NO,66695000.0
2022,PT,171653000.0
2022,RO,70464000.0
2022,SE,243972000.0
2022,SI,13909000.0
2022,SK,66705000.0
