Statistic,Week,Mode_of_Transport,VALUE
Passenger Journeys,2019 Week 35,Dublin Metro Bus,2872215.0
Passenger Journeys,2019 Week 35,"Bus, excluding Dublin Metro",695388.0
Passenger Journeys,2019 Week 35,Rail,
Passenger Journeys,2019 Week 35,"All public transport, excluding LUAS",3567603.0
Passenger Journeys,2019 Week 36,Dublin Metro Bus,2999569.0
Passenger Journeys,2019 Week 36,"Bus, excluding Dublin Metro",744038.0
Passenger Journeys,2019 Week 36,Rail,
Passenger Journeys,2019 Week 36,"All public transport, excluding LUAS",3743607.0
Passenger Journeys,2019 Week 37,Dublin Metro Bus,3109763.0
Passenger Journeys,2019 Week 37,"Bus, excluding Dublin Metro",820112.0
Passenger Journeys,2019 Week 37,Rail,
Passenger Journeys,2019 Week 37,"All public transport, excluding LUAS",3929875.0
Passenger Journeys,2019 Week 38,Dublin Metro Bus,3182473.0
Passenger Journeys,2019 Week 38,"Bus, excluding Dublin Metro",828356.0
Passenger Journeys,2019 Week 38,Rail,
Passenger Journeys,2019 Week 38,"All public transport, excluding LUAS",4010829.0
Passenger Journeys,2019 Week 39,Dublin Metro Bus,3204042.0
Passenger Journeys,2019 Week 39,"Bus, excluding Dublin Metro",814190.0
Passenger Journeys,2019 Week 39,Rail,
Passenger Journeys,2019 Week 39,"All public transport, excluding LUAS",4018232.0
Passenger Journeys,2019 Week 40,Dublin Metro Bus,3139165.0
Passenger Journeys,2019 Week 40,"Bus, excluding Dublin Metro",776594.0
Passenger Journeys,2019 Week 40,Rail,
Passenger Journeys,2019 Week 40,"All public transport, excluding LUAS",3915759.0
Passenger Journeys,2019 Week 41,Dublin Metro Bus,3243670.0
Passenger Journeys,2019 Week 41,"Bus, excluding Dublin Metro",824314.0
Passenger Journeys,2019 Week 41,Rail,
Passenger Journeys,2019 Week 41,"All public transport, excluding LUAS",4067984.0
Passenger Journeys,2019 Week 42,Dublin Metro Bus,3238993.0
Passenger Journeys,2019 Week 42,"Bus, excluding Dublin Metro",805498.0
Passenger Journeys,2019 Week 42,Rail,
Passenger Journeys,2019 Week 42,"All public transport, excluding LUAS",4044491.0
Passenger Journeys,2019 Week 43,Dublin Metro Bus,3170924.0
Passenger Journeys,2019 Week 43,"Bus, excluding Dublin Metro",824331.0
Passenger Journeys,2019 Week 43,Rail,
Passenger Journeys,2019 Week 43,"All public transport, excluding LUAS",3995255.0
Passenger Journeys,2019 Week 44,Dublin Metro Bus,2708101.0
Passenger Journeys,2019 Week 44,"Bus, excluding Dublin Metro",655906.0
Passenger Journeys,2019 Week 44,Rail,
Passenger Journeys,2019 Week 44,"All public transport, excluding LUAS",3364007.0
Passenger Journeys,2019 Week 45,Dublin Metro Bus,3130443.0
Passenger Journeys,2019 Week 45,"Bus, excluding Dublin Metro",775922.0
Passenger Journeys,2019 Week 45,Rail,
Passenger Journeys,2019 Week 45,"All public transport, excluding LUAS",3906365.0
Passenger Journeys,2019 Week 46,Dublin Metro Bus,3206894.0
Passenger Journeys,2019 Week 46,"Bus, excluding Dublin Metro",783830.0
Passenger Journeys,2019 Week 46,Rail,
Passenger Journeys,2019 Week 46,"All public transport, excluding LUAS",3990724.0
Passenger Journeys,2019 Week 47,Dublin Metro Bus,3192052.0
Passenger Journeys,2019 Week 47,"Bus, excluding Dublin Metro",772760.0
Passenger Journeys,2019 Week 47,Rail,
Passenger Journeys,2019 Week 47,"All public transport, excluding LUAS",3964812.0
Passenger Journeys,2019 Week 48,Dublin Metro Bus,3251721.0
Passenger Journeys,2019 Week 48,"Bus, excluding Dublin Metro",794233.0
Passenger Journeys,2019 Week 48,Rail,
Passenger Journeys,2019 Week 48,"All public transport, excluding LUAS",4045954.0
Passenger Journeys,2019 Week 49,Dublin Metro Bus,3215990.0
Passenger Journeys,2019 Week 49,"Bus, excluding Dublin Metro",773085.0
Passenger Journeys,2019 Week 49,Rail,
Passenger Journeys,2019 Week 49,"All public transport, excluding LUAS",3989075.0
Passenger Journeys,2019 Week 50,Dublin Metro Bus,3271738.0
Passenger Journeys,2019 Week 50,"Bus, excluding Dublin Metro",768340.0
Passenger Journeys,2019 Week 50,Rail,
Passenger Journeys,2019 Week 50,"All public transport, excluding LUAS",4040078.0
Passenger Journeys,2019 Week 51,Dublin Metro Bus,3166707.0
Passenger Journeys,2019 Week 51,"Bus, excluding Dublin Metro",900418.0
Passenger Journeys,2019 Week 51,Rail,
Passenger Journeys,2019 Week 51,"All public transport, excluding LUAS",4067125.0
Passenger Journeys,2019 Week 52,Dublin Metro Bus,1599369.0
Passenger Journeys,2019 Week 52,"Bus, excluding Dublin Metro",397160.0
Passenger Journeys,2019 Week 52,Rail,
Passenger Journeys,2019 Week 52,"All public transport, excluding LUAS",1996529.0
Passenger Journeys,2019 Week 53,Dublin Metro Bus,
Passenger Journeys,2019 Week 53,"Bus, excluding Dublin Metro",
Passenger Journeys,2019 Week 53,Rail,
Passenger Journeys,2019 Week 53,"All public transport, excluding LUAS",
Passenger Journeys,2020 Week 01,Dublin Metro Bus,1970550.0
Passenger Journeys,2020 Week 01,"Bus, excluding Dublin Metro",523817.0
Passenger Journeys,2020 Week 01,Rail,697954.0
Passenger Journeys,2020 Week 01,"All public transport, excluding LUAS",3192321.0
Passenger Journeys,2020 Week 02,Dublin Metro Bus,2830713.0
Passenger Journeys,2020 Week 02,"Bus, excluding Dublin Metro",652672.0
Passenger Journeys,2020 Week 02,Rail,899175.0
Passenger Journeys,2020 Week 02,"All public transport, excluding LUAS",4382560.0
Passenger Journeys,2020 Week 03,Dublin Metro Bus,2907797.0
Passenger Journeys,2020 Week 03,"Bus, excluding Dublin Metro",693102.0
Passenger Journeys,2020 Week 03,Rail,925257.0
Passenger Journeys,2020 Week 03,"All public transport, excluding LUAS",4526156.0
Passenger Journeys,2020 Week 04,Dublin Metro Bus,3076009.0
Passenger Journeys,2020 Week 04,"Bus, excluding Dublin Metro",747531.0
Passenger Journeys,2020 Week 04,Rail,959703.0
Passenger Journeys,2020 Week 04,"All public transport, excluding LUAS",4783243.0
Passenger Journeys,2020 Week 05,Dublin Metro Bus,3152056.0
Passenger Journeys,2020 Week 05,"Bus, excluding Dublin Metro",755189.0
Passenger Journeys,2020 Week 05,Rail,1019494.0
Passenger Journeys,2020 Week 05,"All public transport, excluding LUAS",4926739.0
Passenger Journeys,2020 Week 06,Dublin Metro Bus,3104689.0
Passenger Journeys,2020 Week 06,"Bus, excluding Dublin Metro",748401.0
Passenger Journeys,2020 Week 06,Rail,1041672.0
Passenger Journeys,2020 Week 06,"All public transport, excluding LUAS",4894762.0
Passenger Journeys,2020 Week 07,Dublin Metro Bus,3097986.0
Passenger Journeys,2020 Week 07,"Bus, excluding Dublin Metro",729974.0
Passenger Journeys,2020 Week 07,Rail,908680.0
Passenger Journeys,2020 Week 07,"All public transport, excluding LUAS",4736640.0
Passenger Journeys,2020 Week 08,Dublin Metro Bus,3046425.0
Passenger Journeys,2020 Week 08,"Bus, excluding Dublin Metro",728267.0
Passenger Journeys,2020 Week 08,Rail,954421.0
Passenger Journeys,2020 Week 08,"All public transport, excluding LUAS",4729113.0
Passenger Journeys,2020 Week 09,Dublin Metro Bus,3145979.0
Passenger Journeys,2020 Week 09,"Bus, excluding Dublin Metro",738222.0
Passenger Journeys,2020 Week 09,Rail,946324.0
Passenger Journeys,2020 Week 09,"All public transport, excluding LUAS",4830525.0
Passenger Journeys,2020 Week 10,Dublin Metro Bus,3103704.0
Passenger Journeys,2020 Week 10,"Bus, excluding Dublin Metro",755581.0
Passenger Journeys,2020 Week 10,Rail,851347.0
Passenger Journeys,2020 Week 10,"All public transport, excluding LUAS",4710632.0
Passenger Journeys,2020 Week 11,Dublin Metro Bus,2451496.0
Passenger Journeys,2020 Week 11,"Bus, excluding Dublin Metro",585892.0
Passenger Journeys,2020 Week 11,Rail,907046.0
Passenger Journeys,2020 Week 11,"All public transport, excluding LUAS",3944434.0
Passenger Journeys,2020 Week 12,Dublin Metro Bus,828756.0
Passenger Journeys,2020 Week 12,"Bus, excluding Dublin Metro",189509.0
Passenger Journeys,2020 Week 12,Rail,627170.0
Passenger Journeys,2020 Week 12,"All public transport, excluding LUAS",1645435.0
Passenger Journeys,2020 Week 13,Dublin Metro Bus,593463.0
