Statistic,Week,Mode_of_Transport,VALUE
Passenger Journeys,2022 Week 50,Dublin Metro Bus,3050335.0
Passenger Journeys,2022 Week 50,"Bus, excluding Dublin Metro",800708.0
Passenger Journeys,2022 Week 50,Rail,805056.0
Passenger Journeys,2022 Week 50,"All public transport, excluding LUAS",4656099.0
Passenger Journeys,2022 Week 51,Dublin Metro Bus,2741688.0
Passenger Journeys,2022 Week 51,"Bus, excluding Dublin Metro",662302.0
Passenger Journeys,2022 Week 51,Rail,619257.0
Passenger Journeys,2022 Week 51,"All public transport, excluding LUAS",4023247.0
Passenger Journeys,2022 Week 52,Dublin Metro Bus,2840848.0
Passenger Journeys,2022 Week 52,"Bus, excluding Dublin Metro",478378.0
Passenger Journeys,2022 Week 52,Rail,410985.0
Passenger Journeys,2022 Week 52,"All public transport, excluding LUAS",3730211.0
Passenger Journeys,2022 Week 53,Dublin Metro Bus,
Passenger Journeys,2022 Week 53,"Bus, excluding Dublin Metro",
Passenger Journeys,2022 Week 53,Rail,
Passenger Journeys,2022 Week 53,"All public transport, excluding LUAS",
Passenger Journeys,2023 Week 01,Dublin Metro Bus,2325239.0
Passenger Journeys,2023 Week 01,"Bus, excluding Dublin Metro",614352.0
Passenger Journeys,2023 Week 01,Rail,593351.0
Passenger Journeys,2023 Week 01,"All public transport, excluding LUAS",3532942.0
Passenger Journeys,2023 Week 02,Dublin Metro Bus,2791337.0
Passenger Journeys,2023 Week 02,"Bus, excluding Dublin Metro",742138.0
Passenger Journeys,2023 Week 02,Rail,693509.0
Passenger Journeys,2023 Week 02,"All public transport, excluding LUAS",4226984.0
Passenger Journeys,2023 Week 03,Dublin Metro Bus,2948010.0
Passenger Journeys,2023 Week 03,"Bus, excluding Dublin Metro",791800.0
Passenger Journeys,2023 Week 03,Rail,737213.0
Passenger Journeys,2023 Week 03,"All public transport, excluding LUAS",4477023.0
Passenger Journeys,2023 Week 04,Dublin Metro Bus,3166957.0
Passenger Journeys,2023 Week 04,"Bus, excluding Dublin Metro",858179.0
Passenger Journeys,2023 Week 04,Rail,803814.0
Passenger Journeys,2023 Week 04,"All public transport, excluding LUAS",4828950.0
Passenger Journeys,2023 Week 05,Dublin Metro Bus,3157789.0
Passenger Journeys,2023 Week 05,"Bus, excluding Dublin Metro",867139.0
Passenger Journeys,2023 Week 05,Rail,843766.0
Passenger Journeys,2023 Week 05,"All public transport, excluding LUAS",4868694.0
Passenger Journeys,2023 Week 06,Dublin Metro Bus,2957697.0
Passenger Journeys,2023 Week 06,"Bus, excluding Dublin Metro",803293.0
Passenger Journeys,2023 Week 06,Rail,783829.0
Passenger Journeys,2023 Week 06,"All public transport, excluding LUAS",4544819.0
Passenger Journeys,2023 Week 07,Dublin Metro Bus,3095444.0
Passenger Journeys,2023 Week 07,"Bus, excluding Dublin Metro",882482.0
Passenger Journeys,2023 Week 07,Rail,825296.0
Passenger Journeys,2023 Week 07,"All public transport, excluding LUAS",4803222.0
Passenger Journeys,2023 Week 08,Dublin Metro Bus,3232516.0
Passenger Journeys,2023 Week 08,"Bus, excluding Dublin Metro",885217.0
Passenger Journeys,2023 Week 08,Rail,843175.0
Passenger Journeys,2023 Week 08,"All public transport, excluding LUAS",4960908.0
Passenger Journeys,2023 Week 09,Dublin Metro Bus,3207780.0
Passenger Journeys,2023 Week 09,"Bus, excluding Dublin Metro",878491.0
Passenger Journeys,2023 Week 09,Rail,860894.0
Passenger Journeys,2023 Week 09,"All public transport, excluding LUAS",4947165.0
Passenger Journeys,2023 Week 10,Dublin Metro Bus,3133172.0
Passenger Journeys,2023 Week 10,"Bus, excluding Dublin Metro",847587.0
Passenger Journeys,2023 Week 10,Rail,771731.0
Passenger Journeys,2023 Week 10,"All public transport, excluding LUAS",4752490.0
Passenger Journeys,2023 Week 11,Dublin Metro Bus,2964999.0
Passenger Journeys,2023 Week 11,"Bus, excluding Dublin Metro",819312.0
Passenger Journeys,2023 Week 11,Rail,816678.0
Passenger Journeys,2023 Week 11,"All public transport, excluding LUAS",4600989.0
Passenger Journeys,2023 Week 12,Dublin Metro Bus,3207312.0
Passenger Journeys,2023 Week 12,"Bus, excluding Dublin Metro",849417.0
Passenger Journeys,2023 Week 12,Rail,851471.0
Passenger Journeys,2023 Week 12,"All public transport, excluding LUAS",4908200.0
Passenger Journeys,2023 Week 13,Dublin Metro Bus,3274633.0
Passenger Journeys,2023 Week 13,"Bus, excluding Dublin Metro",854952.0
Passenger Journeys,2023 Week 13,Rail,689730.0
Passenger Journeys,2023 Week 13,"All public transport, excluding LUAS",4819315.0
Passenger Journeys,2023 Week 14,Dublin Metro Bus,3030252.0
Passenger Journeys,2023 Week 14,"Bus, excluding Dublin Metro",815998.0
Passenger Journeys,2023 Week 14,Rail,801427.0
Passenger Journeys,2023 Week 14,"All public transport, excluding LUAS",4647677.0
Passenger Journeys,2023 Week 15,Dublin Metro Bus,2814650.0
Passenger Journeys,2023 Week 15,"Bus, excluding Dublin Metro",736415.0
Passenger Journeys,2023 Week 15,Rail,731982.0
Passenger Journeys,2023 Week 15,"All public transport, excluding LUAS",4283047.0
Passenger Journeys,2023 Week 16,Dublin Metro Bus,3267439.0
Passenger Journeys,2023 Week 16,"Bus, excluding Dublin Metro",880537.0
Passenger Journeys,2023 Week 16,Rail,836941.0
Passenger Journeys,2023 Week 16,"All public transport, excluding LUAS",4984917.0
Passenger Journeys,2023 Week 17,Dublin Metro Bus,3325827.0
Passenger Journeys,2023 Week 17,"Bus, excluding Dublin Metro",883494.0
Passenger Journeys,2023 Week 17,Rail,865758.0
Passenger Journeys,2023 Week 17,"All public transport, excluding LUAS",5075079.0
Passenger Journeys,2023 Week 18,Dublin Metro Bus,3082566.0
Passenger Journeys,2023 Week 18,"Bus, excluding Dublin Metro",825877.0
Passenger Journeys,2023 Week 18,Rail,872894.0
Passenger Journeys,2023 Week 18,"All public transport, excluding LUAS",4781337.0
Passenger Journeys,2023 Week 19,Dublin Metro Bus,3207366.0
Passenger Journeys,2023 Week 19,"Bus, excluding Dublin Metro",878188.0
Passenger Journeys,2023 Week 19,Rail,873808.0
Passenger Journeys,2023 Week 19,"All public transport, excluding LUAS",4959362.0
Passenger Journeys,2023 Week 20,Dublin Metro Bus,3127899.0
Passenger Journeys,2023 Week 20,"Bus, excluding Dublin Metro",862338.0
Passenger Journeys,2023 Week 20,Rail,891149.0
Passenger Journeys,2023 Week 20,"All public transport, excluding LUAS",4881386.0
Passenger Journeys,2023 Week 21,Dublin Metro Bus,3173348.0
Passenger Journeys,2023 Week 21,"Bus, excluding Dublin Metro",870042.0
Passenger Journeys,2023 Week 21,Rail,890058.0
Passenger Journeys,2023 Week 21,"All public transport, excluding LUAS",4933448.0
Passenger Journeys,2023 Week 22,Dublin Metro Bus,3200660.0
Passenger Journeys,2023 Week 22,"Bus, excluding Dublin Metro",865585.0
Passenger Journeys,2023 Week 22,Rail,975543.0
Passenger Journeys,2023 Week 22,"All public transport, excluding LUAS",5041788.0
Passenger Journeys,2023 Week 23,Dublin Metro Bus,2904610.0
Passenger Journeys,2023 Week 23,"Bus, excluding Dublin Metro",781015.0
Passenger Journeys,2023 Week 23,Rail,816266.0
Passenger Journeys,2023 Week 23,"All public transport, excluding LUAS",4501891.0
Passenger Journeys,2023 Week 24,Dublin Metro Bus,3057569.0
Passenger Journeys,2023 Week 24,"Bus, excluding Dublin Metro",802039.0
Passenger Journeys,2023 Week 24,Rail,880035.0
Passenger Journeys,2023 Week 24,"All public transport, excluding LUAS",4739643.0
Passenger Journeys,2023 Week 25,Dublin Metro Bus,3057052.0
Passenger Journeys,2023 Week 25,"Bus, excluding Dublin Metro",781908.0
Passenger Journeys,2023 Week 25,Rail,902728.0
Passenger Journeys,2023 Week 25,"All public transport, excluding LUAS",4741688.0
Passenger Journeys,2023 Week 26,Dublin Metro Bus,3108755.0
Passenger Journeys,2023 Week 26,"Bus, excluding Dublin Metro",760478.0
Passenger Journeys,2023 Week 26,Rail,938599.0
Passenger Journeys,2023 Week 26,"All public transport, excluding LUAS",4807832.0
Passenger Journeys,2023 Week 27,Dublin Metro Bus,3046360.0
Passenger Journeys,2023 Week 27,"Bus, excluding Dublin Metro",810830.0
Passenger Journeys,2023 Week 27,Rail,858711.0
Passenger Journeys,2023 Week 27,"All public transport, excluding LUAS",4715901.0
Passenger Journeys,2023 Week 28,Dublin Metro Bus,2939504.0
Passenger Journeys,2023 Week 28,"Bus, excluding Dublin Metro",799946.0
Passenger Journeys,2023 Week 28,Rail,785124.0
Passenger Journeys,2023 Week 28,"All public transport, excluding LUAS",4524574.0
Passenger Journeys,2023 Week 29,Dublin Metro Bus,2956246.0
Passenger Journeys,2023 Week 29,"Bus, excluding Dublin Metro",799518.0
Passenger Journeys,2023 Week 29,Rail,806263.0
Passenger Journeys,2023 Week 29,"All public transport, excluding LUAS",4562027.0
Passenger Journeys,2023 Week 30,Dublin Metro Bus,2998446.0
Passenger Journeys,2023 Week 30,"Bus, excluding Dublin Metro",788301.0
Passenger Journeys,2023 Week 30,Rail,814033.0
Passenger Journeys,2023 Week 30,"All public transport, excluding LUAS",4600780.0
Passenger Journeys,2023 Week 31,Dublin Metro Bus,2907903.0
Passenger Journeys,2023 Week 31,"Bus, excluding Dublin Metro",819255.0
Passenger Journeys,2023 Week 31,Rail,842625.0
Passenger Journeys,2023 Week 31,"All public transport, excluding LUAS",4569783.0
Passenger Journeys,2023 Week 32,Dublin Metro Bus,2807912.0
Passenger Journeys,2023 Week 32,"Bus, excluding Dublin Metro",752795.0
Passenger Journeys,2023 Week 32,Rail,828688.0
Passenger Journeys,2023 Week 32,"All public transport, excluding LUAS",4389395.0
Passenger Journeys,2023 Week 33,Dublin Metro Bus,2935441.0
Passenger Journeys,2023 Week 33,"Bus, excluding Dublin Metro",816489.0
Passenger Journeys,2023 Week 33,Rail,850226.0
Passenger Journeys,2023 Week 33,"All public transport, excluding LUAS",4602156.0
Passenger Journeys,2023 Week 34,Dublin Metro Bus,2989135.0
Passenger Journeys,2023 Week 34,"Bus, excluding Dublin Metro",845884.0
Passenger Journeys,2023 Week 34,Rail,818169.0
Passenger Journeys,2023 Week 34,"All public transport, excluding LUAS",4653188.0
Passenger Journeys,2023 Week 35,Dublin Metro Bus,3134289.0
Passenger Journeys,2023 Week 35,"Bus, excluding Dublin Metro",835183.0
Passenger Journeys,2023 Week 35,Rail,882381.0
Passenger Journeys,2023 Week 35,"All public transport, excluding LUAS",4851853.0
Passenger Journeys,2023 Week 36,Dublin Metro Bus,3266735.0
Passenger Journeys,2023 Week 36,"Bus, excluding Dublin Metro",910823.0
Passenger Journeys,2023 Week 36,Rail,948395.0
Passenger Journeys,2023 Week 36,"All public transport, excluding LUAS",5125953.0
Passenger Journeys,2023 Week 37,Dublin Metro Bus,3332761.0
Passenger Journeys,2023 Week 37,"Bus, excluding Dublin Metro",924379.0
Passenger Journeys,2023 Week 37,Rail,789208.0
Passenger Journeys,2023 Week 37,"All public transport, excluding LUAS",5046348.0
Passenger Journeys,2023 Week 38,Dublin Metro Bus,3558455.0
Passenger Journeys,2023 Week 38,"Bus, excluding Dublin Metro",984371.0
Passenger Journeys,2023 Week 38,Rail,945832.0
Passenger Journeys,2023 Week 38,"All public transport, excluding LUAS",5488658.0
Passenger Journeys,2023 Week 39,Dublin Metro Bus,3517509.0
Passenger Journeys,2023 Week 39,"Bus, excluding Dublin Metro",950613.0
Passenger Journeys,2023 Week 39,Rail,932441.0
Passenger Journeys,2023 Week 39,"All public transport, excluding LUAS",5400563.0
Passenger Journeys,2023 Week 40,Dublin Metro Bus,3595880.0
Passenger Journeys,2023 Week 40,"Bus, excluding Dublin Metro",894313.0
Passenger Journeys,2023 Week 40,Rail,974332.0
Passenger Journeys,2023 Week 40,"All public transport, excluding LUAS",5464525.0
Passenger Journeys,2023 Week 41,Dublin Metro Bus,3629045.0
Passenger Journeys,2023 Week 41,"Bus, excluding Dublin Metro",923175.0
Passenger Journeys,2023 Week 41,Rail,925784.0
Passenger Journeys,2023 Week 41,"All public transport, excluding LUAS",5478004.0
Passenger Journeys,2023 Week 42,Dublin Metro Bus,3492660.0
Passenger Journeys,2023 Week 42,"Bus, excluding Dublin Metro",933376.0
Passenger Journeys,2023 Week 42,Rail,912832.0
Passenger Journeys,2023 Week 42,"All public transport, excluding LUAS",5338868.0
Passenger Journeys,2023 Week 43,Dublin Metro Bus,3504413.0
Passenger Journeys,2023 Week 43,"Bus, excluding Dublin Metro",974091.0
Passenger Journeys,2023 Week 43,Rail,888050.0
Passenger Journeys,2023 Week 43,"All public transport, excluding LUAS",5366554.0
Passenger Journeys,2023 Week 44,Dublin Metro Bus,3043578.0
Passenger Journeys,2023 Week 44,"Bus, excluding Dublin Metro",811636.0
Passenger Journeys,2023 Week 44,Rail,824979.0
Passenger Journeys,2023 Week 44,"All public transport, excluding LUAS",4680193.0
Passenger Journeys,2023 Week 45,Dublin Metro Bus,3517888.0
Passenger Journeys,2023 Week 45,"Bus, excluding Dublin Metro",928383.0
Passenger Journeys,2023 Week 45,Rail,959770.0
Passenger Journeys,2023 Week 45,"All public transport, excluding LUAS",5406041.0
Passenger Journeys,2023 Week 46,Dublin Metro Bus,3311974.0
Passenger Journeys,2023 Week 46,"Bus, excluding Dublin Metro",900766.0
Passenger Journeys,2023 Week 46,Rail,900707.0
Passenger Journeys,2023 Week 46,"All public transport, excluding LUAS",5113447.0
Passenger Journeys,2023 Week 47,Dublin Metro Bus,3218635.0
Passenger Journeys,2023 Week 47,"Bus, excluding Dublin Metro",895925.0
Passenger Journeys,2023 Week 47,Rail,945060.0
Passenger Journeys,2023 Week 47,"All public transport, excluding LUAS",5059620.0
Passenger Journeys,2023 Week 48,Dublin Metro Bus,3453532.0
Passenger Journeys,2023 Week 48,"Bus, excluding Dublin Metro",941393.0
Passenger Journeys,2023 Week 48,Rail,942218.0
Passenger Journeys,2023 Week 48,"All public transport, excluding LUAS",5337143.0
